,age,gender,country,education,job_title,years_coding,salary,Data_Science_Course,Languages
5881,60-69,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,"150,000-199,999",,SQL;Java;Javascript;Bash;
5883,40-44,Man,Switzerland,Master’s degree,Research Scientist,20+ years,"100,000-124,999",edX,Javascript;edX
5885,30-34,Man,Russia,Doctoral degree,Data Scientist,5-10 years,"15,000-19,999",,
5886,30-34,Man,Other,Doctoral degree,Other,5-10 years,"7,500-9,999",Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
5888,25-29,Man,China,Doctoral degree,Software Engineer,5-10 years,"40,000-49,999",None,Javascript;Bash;None
5890,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,I have never written code,"60,000-69,999",,
5895,25-29,Man,South Africa,Bachelor’s degree,Data Analyst,< 1 years,"7,500-9,999",DataCamp;Udemy,R;SQL;DataCamp;Udemy
5896,60-69,Man,United States of America,Doctoral degree,Research Scientist,20+ years,"100,000-124,999",edX;LinkedIn Learning,C;C++;Java;Javascript;Bash;edX;LinkedIn Learning
5897,25-29,Man,Republic of Korea,Doctoral degree,Research Scientist,3-5 years,"15,000-19,999",University Courses (resulting in a university degree),MATLAB;University Courses (resulting in a university degree)
5898,30-34,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,$0-999,,Java;
5899,40-44,Man,Brazil,Master’s degree,Business Analyst,10-20 years,"300,000-500,000",,SQL;C;C++;Bash;
5902,25-29,Woman,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,$0-999,DataCamp;Udemy;University Courses (resulting in a university degree),SQL;C;Java;Javascript;DataCamp;Udemy;University Courses (resulting in a university degree)
5904,35-39,Man,Other,Master’s degree,Data Analyst,1-2 years,"4,000-4,999",None,R;Java;None
5906,35-39,Man,Australia,Doctoral degree,Software Engineer,10-20 years,"40,000-49,999",DataCamp;Fast.ai,SQL;Java;Javascript;Bash;DataCamp;Fast.ai
5912,35-39,Man,Peru,Master’s degree,Business Analyst,I have never written code,"25,000-29,999",DataCamp;Udacity;Udemy;LinkedIn Learning,DataCamp;Udacity;Udemy;LinkedIn Learning
5913,30-34,Man,United States of America,Doctoral degree,Data Scientist,5-10 years,"150,000-199,999",None,Javascript;Julia;None
5914,40-44,Man,United States of America,Doctoral degree,Other,5-10 years,"250,000-299,999",edX;Kaggle Learn Courses;DataCamp;Fast.ai;Udacity;University Courses (resulting in a university degree),R;edX;Kaggle Learn Courses;DataCamp;Fast.ai;Udacity;University Courses (resulting in a university degree)
5917,40-44,Man,Other,Doctoral degree,Machine Learning Engineer,5-10 years,"125,000-149,999",edX;Udemy,SQL;C;C++;Java;Bash;edX;Udemy
5919,22-24,Man,Belarus,Master’s degree,Data Scientist,3-5 years,"5,000-7,499",DataCamp;Udacity;Udemy,DataCamp;Udacity;Udemy
5920,40-44,Woman,India,Doctoral degree,Data Scientist,10-20 years,"40,000-49,999",University Courses (resulting in a university degree),R;University Courses (resulting in a university degree)
5922,25-29,Man,Russia,Master’s degree,Other,1-2 years,$0-999,Kaggle Learn Courses;University Courses (resulting in a university degree),R;SQL;MATLAB;Kaggle Learn Courses;University Courses (resulting in a university degree)
5924,25-29,Man,United States of America,Master’s degree,Machine Learning Engineer,3-5 years,"20,000-24,999",,C++;Javascript;Bash;
5925,35-39,Man,Malaysia,Master’s degree,Software Engineer,20+ years,"70,000-79,999",Udemy,C++;Java;Udemy
5929,25-29,Man,Mexico,Master’s degree,Data Analyst,3-5 years,"20,000-24,999",edX;Udemy;LinkedIn Learning,SQL;edX;Udemy;LinkedIn Learning
5930,55-59,Man,Other,Master’s degree,Software Engineer,20+ years,"50,000-59,999",None,SQL;C;C++;None
5931,30-34,Man,India,Master’s degree,Other,I have never written code,"10,000-14,999",,
5932,35-39,Man,India,Master’s degree,Data Scientist,3-5 years,"30,000-39,999",edX;DataCamp;Udemy,edX;DataCamp;Udemy
5933,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,"1,000-1,999",Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning,C;C++;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning
5934,18-21,Man,Nigeria,Bachelor’s degree,Data Analyst,1-2 years,$0-999,Udemy;LinkedIn Learning,Udemy;LinkedIn Learning
5935,30-34,Man,India,Master’s degree,Software Engineer,5-10 years,"15,000-19,999",edX;Kaggle Learn Courses;DataCamp;Udemy,R;SQL;Javascript;edX;Kaggle Learn Courses;DataCamp;Udemy
5936,22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years,"2,000-2,999",Kaggle Learn Courses;Udemy;University Courses (resulting in a university degree),Java;Javascript;Swift;Kaggle Learn Courses;Udemy;University Courses (resulting in a university degree)
5938,45-49,Man,Spain,Master’s degree,Statistician,10-20 years,"50,000-59,999",Kaggle Learn Courses;University Courses (resulting in a university degree),R;SQL;Kaggle Learn Courses;University Courses (resulting in a university degree)
5941,40-44,Man,United States of America,Bachelor’s degree,Software Engineer,10-20 years,"80,000-89,999",edX;Kaggle Learn Courses,Java;edX;Kaggle Learn Courses
5942,25-29,Man,Egypt,Bachelor’s degree,Data Scientist,1-2 years,$0-999,edX;Kaggle Learn Courses;Udacity;LinkedIn Learning,edX;Kaggle Learn Courses;Udacity;LinkedIn Learning
5943,25-29,Man,India,Master’s degree,Software Engineer,3-5 years,"10,000-14,999",Kaggle Learn Courses,SQL;Java;Javascript;Kaggle Learn Courses
5946,22-24,Man,Brazil,Bachelor’s degree,Business Analyst,3-5 years,"1,000-1,999",,SQL;
5949,30-34,Man,Other,Doctoral degree,Other,5-10 years,"2,000-2,999",Kaggle Learn Courses;DataCamp;University Courses (resulting in a university degree),SQL;C++;Java;Javascript;Kaggle Learn Courses;DataCamp;University Courses (resulting in a university degree)
5951,40-44,Man,United States of America,Master’s degree,Software Engineer,20+ years,"100,000-124,999",Fast.ai;University Courses (resulting in a university degree),SQL;Javascript;Fast.ai;University Courses (resulting in a university degree)
5952,40-44,Man,Sweden,Master’s degree,Other,10-20 years,"40,000-49,999",Kaggle Learn Courses;Udemy,C;C++;Bash;Kaggle Learn Courses;Udemy
5953,35-39,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,"2,000-2,999",None,None
5954,25-29,Woman,Canada,Master’s degree,Software Engineer,3-5 years,"70,000-79,999",DataCamp;Udacity;Udemy,SQL;Javascript;DataCamp;Udacity;Udemy
5955,50-54,Man,Poland,Doctoral degree,Research Scientist,20+ years,"25,000-29,999",DataCamp;Udacity,R;C;DataCamp;Udacity
5956,25-29,Man,South Korea,Master’s degree,Data Scientist,5-10 years,"1,000-1,999",edX,Java;edX
5957,45-49,Man,Germany,Doctoral degree,Other,3-5 years,$0-999,Udemy;University Courses (resulting in a university degree),Udemy;University Courses (resulting in a university degree)
5961,35-39,Man,Other,Master’s degree,Other,3-5 years,"50,000-59,999",DataCamp;LinkedIn Learning;University Courses (resulting in a university degree),R;DataCamp;LinkedIn Learning;University Courses (resulting in a university degree)
5962,22-24,Woman,India,Doctoral degree,Software Engineer,I have never written code,$0-999,None,None
5964,45-49,Man,Italy,Master’s degree,Software Engineer,3-5 years,"50,000-59,999",edX,R;SQL;edX
5967,35-39,Man,Pakistan,Professional degree,Data Analyst,I have never written code,$0-999,,
5969,50-54,Man,India,Professional degree,Product/Project Manager,10-20 years,"30,000-39,999",Kaggle Learn Courses;DataCamp,SQL;Kaggle Learn Courses;DataCamp
5971,25-29,Woman,Brazil,Bachelor’s degree,Software Engineer,3-5 years,$0-999,,Java;Javascript;
5976,22-24,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,"1,000-1,999",University Courses (resulting in a university degree),C++;Bash;University Courses (resulting in a university degree)
5978,22-24,Man,Other,Master’s degree,Software Engineer,1-2 years,$0-999,Udemy,SQL;C;C++;Java;Javascript;Bash;Udemy
5979,25-29,Man,Italy,Doctoral degree,Data Scientist,3-5 years,"30,000-39,999",edX,SQL;edX
5985,30-34,Man,China,Bachelor’s degree,Data Analyst,3-5 years,"1,000-1,999",None,C;None
5988,25-29,Man,Sri Lanka,Bachelor’s degree,Software Engineer,1-2 years,$0-999,Udemy,SQL;C++;Javascript;MATLAB;Udemy
5989,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,"5,000-7,499",Kaggle Learn Courses,Java;Kaggle Learn Courses
5990,25-29,Man,United States of America,Master’s degree,Data Analyst,3-5 years,"25,000-29,999",Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning,SQL;Javascript;MATLAB;Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning
5991,45-49,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,"50,000-59,999",,C;C++;Java;Javascript;
5992,25-29,Man,India,Master’s degree,Software Engineer,3-5 years,$0-999,,SQL;Bash;
5993,35-39,Woman,"Iran, Islamic Republic of...",Professional degree,Product/Project Manager,5-10 years,"100,000-124,999",None,C;C++;Java;MATLAB;None
5994,35-39,Woman,Turkey,Bachelor’s degree,Product/Project Manager,< 1 years,$0-999,Udemy,R;SQL;Udemy
5995,40-44,Woman,Other,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",edX;DataCamp;Udemy,R;edX;DataCamp;Udemy
5997,45-49,Man,Romania,Master’s degree,Software Engineer,10-20 years,"20,000-24,999",Kaggle Learn Courses;Udemy,SQL;Kaggle Learn Courses;Udemy
5999,40-44,Woman,United States of America,Master’s degree,Data Scientist,20+ years,"200,000-249,999",,Java;
6000,35-39,Woman,Brazil,Bachelor’s degree,Data Analyst,< 1 years,$0-999,DataCamp,R;DataCamp
6001,35-39,Man,Nepal,Master’s degree,Data Scientist,10-20 years,"10,000-14,999",edX;Kaggle Learn Courses;DataCamp;Udemy,R;C;C++;Java;Bash;MATLAB;edX;Kaggle Learn Courses;DataCamp;Udemy
6002,30-34,Man,India,Bachelor’s degree,Other,< 1 years,"30,000-39,999",None,None
6003,50-54,Man,United States of America,Bachelor’s degree,Data Engineer,10-20 years,"60,000-69,999",Kaggle Learn Courses;Udemy,SQL;Javascript;Bash;Kaggle Learn Courses;Udemy
6007,30-34,Man,United States of America,Master’s degree,Data Analyst,5-10 years,"20,000-24,999",Kaggle Learn Courses,Swift;MATLAB;Kaggle Learn Courses
6008,50-54,Man,Other,Master’s degree,Software Engineer,20+ years,"100,000-124,999",Kaggle Learn Courses;Udacity,SQL;C;C++;MATLAB;Kaggle Learn Courses;Udacity
6009,40-44,Man,Italy,Bachelor’s degree,Other,1-2 years,"7,500-9,999",,
6013,35-39,Man,Taiwan,Doctoral degree,Research Scientist,3-5 years,"30,000-39,999",edX;DataCamp,R;SQL;edX;DataCamp
6014,25-29,Man,Other,Master’s degree,Software Engineer,5-10 years,$0-999,edX;DataCamp;Udacity;Udemy,R;SQL;C++;Java;Javascript;edX;DataCamp;Udacity;Udemy
6015,25-29,Man,India,Bachelor’s degree,Product/Project Manager,I have never written code,"1,000-1,999",,
6016,40-44,Man,United States of America,No formal education past high school,Other,20+ years,"15,000-19,999",Kaggle Learn Courses,None;Kaggle Learn Courses
6017,25-29,Man,Russia,Master’s degree,Machine Learning Engineer,10-20 years,"40,000-49,999",University Courses (resulting in a university degree),C;C++;Bash;University Courses (resulting in a university degree)
6023,25-29,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"15,000-19,999",,SQL;
6026,22-24,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,SQL;C++;MATLAB;
6027,25-29,Man,Nepal,Master’s degree,Software Engineer,3-5 years,"7,500-9,999",None,Javascript;None
6030,35-39,Man,Chile,Bachelor’s degree,Product/Project Manager,5-10 years,"15,000-19,999",,MATLAB;
6032,25-29,Woman,Singapore,Master’s degree,Data Scientist,1-2 years,"3,000-3,999",edX;Kaggle Learn Courses;DataCamp;Fast.ai;Udemy,R;edX;Kaggle Learn Courses;DataCamp;Fast.ai;Udemy
6035,22-24,Man,Pakistan,Master’s degree,Data Analyst,3-5 years,$0-999,Udemy,R;SQL;Udemy
6038,30-34,Man,Romania,Bachelor’s degree,Data Engineer,5-10 years,"60,000-69,999",Kaggle Learn Courses,SQL;Javascript;Bash;Kaggle Learn Courses
6039,35-39,Man,Indonesia,Bachelor’s degree,Business Analyst,< 1 years,"1,000-1,999",None,Javascript;None
6040,45-49,Man,Japan,Bachelor’s degree,Software Engineer,20+ years,"90,000-99,999",Kaggle Learn Courses;Udemy,Java;Kaggle Learn Courses;Udemy
6041,35-39,Man,France,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",edX;Kaggle Learn Courses;DataCamp,C;C++;edX;Kaggle Learn Courses;DataCamp
6043,40-44,Man,Australia,Master’s degree,Product/Project Manager,5-10 years,"125,000-149,999",,SQL;
6044,35-39,Man,Ukraine,Master’s degree,Data Analyst,1-2 years,"10,000-14,999",Udemy,Udemy
6045,45-49,Man,South Korea,Professional degree,Research Scientist,20+ years,"50,000-59,999",Kaggle Learn Courses,R;SQL;C;C++;Kaggle Learn Courses
6046,40-44,Man,Morocco,Doctoral degree,Research Scientist,10-20 years,"10,000-14,999",Fast.ai,Fast.ai
6048,22-24,Man,Tunisia,Doctoral degree,Other,3-5 years,"3,000-3,999",edX;Kaggle Learn Courses,C++;MATLAB;edX;Kaggle Learn Courses
6049,22-24,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,3-5 years,"4,000-4,999",Fast.ai,Bash;Fast.ai
6051,22-24,Man,Sri Lanka,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,Java;Javascript;
6052,40-44,Man,India,Doctoral degree,Data Scientist,10-20 years,"40,000-49,999",edX;Fast.ai,R;SQL;C;C++;Javascript;edX;Fast.ai
6053,30-34,Man,Spain,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",DataCamp,R;SQL;Bash;DataCamp
6054,35-39,Man,South Africa,Doctoral degree,Software Engineer,10-20 years,"100,000-124,999",,Java;Javascript;Bash;
6055,25-29,Man,France,Master’s degree,Data Scientist,5-10 years,"40,000-49,999",None,None
6056,25-29,Man,France,Doctoral degree,Machine Learning Engineer,5-10 years,"60,000-69,999",University Courses (resulting in a university degree),C++;Bash;University Courses (resulting in a university degree)
6063,30-34,Prefer not to say,Germany,Doctoral degree,Research Scientist,5-10 years,"80,000-89,999",None,C;None
6064,22-24,Woman,Egypt,Bachelor’s degree,Data Analyst,< 1 years,$0-999,,
6065,50-54,Man,Ukraine,Master’s degree,Software Engineer,5-10 years,$0-999,,Javascript;
6069,30-34,Man,Other,Master’s degree,Data Scientist,1-2 years,"150,000-199,999",DataCamp,R;DataCamp
6072,25-29,Man,Australia,Master’s degree,Business Analyst,< 1 years,"1,000-1,999",LinkedIn Learning,SQL;LinkedIn Learning
6074,40-44,Man,Canada,Professional degree,Data Scientist,5-10 years,"80,000-89,999",edX;DataCamp;Udemy,SQL;Java;edX;DataCamp;Udemy
6075,25-29,Man,France,Master’s degree,Software Engineer,5-10 years,"2,000-2,999",,Java;Javascript;
6080,40-44,Man,Russia,I prefer not to answer,Other,I have never written code,$0-999,,
6082,25-29,Man,Nigeria,Bachelor’s degree,Software Engineer,5-10 years,"1,000-1,999",Kaggle Learn Courses,C;C++;Java;Javascript;Kaggle Learn Courses
6083,40-44,Man,Other,Doctoral degree,Research Scientist,5-10 years,$0-999,University Courses (resulting in a university degree),SQL;University Courses (resulting in a university degree)
6085,30-34,Man,Russia,Master’s degree,Machine Learning Engineer,10-20 years,"30,000-39,999",edX,edX
6087,25-29,Man,India,Master’s degree,Machine Learning Engineer,3-5 years,"4,000-4,999",,C;C++;Java;
6088,50-54,Man,United States of America,Master’s degree,Other,20+ years,"40,000-49,999",edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy,R;SQL;edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy
6090,35-39,Man,Netherlands,Master’s degree,Research Scientist,3-5 years,"100,000-124,999",Kaggle Learn Courses;DataCamp;Udacity;Udemy,R;MATLAB;Kaggle Learn Courses;DataCamp;Udacity;Udemy
6091,40-44,Man,Other,Bachelor’s degree,Software Engineer,< 1 years,$0-999,None,None;None
6092,22-24,Woman,India,Master’s degree,Data Analyst,1-2 years,$0-999,,
6093,40-44,Man,India,Professional degree,Data Engineer,10-20 years,"20,000-24,999","Kaggle Learn Courses;DataCamp;Udacity;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","SQL;Kaggle Learn Courses;DataCamp;Udacity;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
6095,25-29,Man,India,Master’s degree,Business Analyst,< 1 years,$0-999,DataCamp,R;DataCamp
6098,25-29,Man,United Arab Emirates,Master’s degree,Data Scientist,3-5 years,$0-999,Udacity;Udemy,Javascript;Udacity;Udemy
6099,35-39,Man,Canada,Master’s degree,Data Analyst,< 1 years,"5,000-7,499",edX,SQL;edX
6100,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,< 1 years,"20,000-24,999",edX;Kaggle Learn Courses;LinkedIn Learning,C++;MATLAB;edX;Kaggle Learn Courses;LinkedIn Learning
6101,35-39,Man,Other,Doctoral degree,Machine Learning Engineer,3-5 years,"30,000-39,999",,SQL;Java;MATLAB;
6102,40-44,Man,Brazil,Bachelor’s degree,Other,10-20 years,"7,500-9,999",Kaggle Learn Courses;Udacity,SQL;Javascript;Kaggle Learn Courses;Udacity
6103,25-29,Man,United States of America,Master’s degree,Research Scientist,3-5 years,"70,000-79,999",None,MATLAB;None
6104,30-34,Man,Israel,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",edX;Kaggle Learn Courses,R;SQL;C++;Julia;Bash;MATLAB;edX;Kaggle Learn Courses
6106,30-34,Man,South Africa,Bachelor’s degree,Data Scientist,10-20 years,"100,000-124,999",DataCamp;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),R;SQL;Bash;DataCamp;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
6108,25-29,Man,Japan,I prefer not to answer,Machine Learning Engineer,3-5 years,"40,000-49,999",None,SQL;Javascript;None
6110,45-49,Man,United States of America,Bachelor’s degree,Other,20+ years,"250,000-299,999",DataCamp;Udacity,SQL;C;Bash;DataCamp;Udacity
6111,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,"15,000-19,999",edX;DataCamp;University Courses (resulting in a university degree),SQL;MATLAB;edX;DataCamp;University Courses (resulting in a university degree)
6113,35-39,Man,India,Master’s degree,Data Scientist,5-10 years,"40,000-49,999",DataCamp;Udemy;LinkedIn Learning,SQL;DataCamp;Udemy;LinkedIn Learning
6115,35-39,Man,Japan,Bachelor’s degree,Product/Project Manager,1-2 years,$0-999,Udemy,Javascript;Udemy
6116,50-54,Man,Italy,Master’s degree,Data Analyst,20+ years,"40,000-49,999",,R;SQL;
6118,45-49,Man,Other,Professional degree,Data Scientist,5-10 years,"30,000-39,999",edX;DataCamp;Udemy,R;edX;DataCamp;Udemy
6119,30-34,Man,Mexico,Master’s degree,Data Analyst,3-5 years,"20,000-24,999",,SQL;C++;Javascript;
6120,25-29,Man,Brazil,Master’s degree,Data Scientist,1-2 years,"7,500-9,999",Udemy,R;SQL;Udemy
6124,25-29,Man,Indonesia,Bachelor’s degree,Other,1-2 years,$0-999,"DataCamp;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","SQL;Javascript;DataCamp;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
6125,35-39,Man,Germany,Bachelor’s degree,Other,< 1 years,"40,000-49,999",Kaggle Learn Courses,SQL;Kaggle Learn Courses
6127,22-24,Man,Egypt,Bachelor’s degree,Software Engineer,3-5 years,"1,000-1,999",Udemy;University Courses (resulting in a university degree),Udemy;University Courses (resulting in a university degree)
6128,40-44,Woman,India,Master’s degree,Other,10-20 years,$0-999,edX;University Courses (resulting in a university degree),SQL;Javascript;edX;University Courses (resulting in a university degree)
6129,25-29,Man,United States of America,Bachelor’s degree,Software Engineer,1-2 years,"15,000-19,999",DataCamp;University Courses (resulting in a university degree),C++;DataCamp;University Courses (resulting in a university degree)
6132,22-24,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,"7,500-9,999",edX;LinkedIn Learning,SQL;edX;LinkedIn Learning
6133,35-39,Man,United States of America,Master’s degree,Business Analyst,5-10 years,"150,000-199,999",DataCamp,R;DataCamp
6134,25-29,Man,India,Doctoral degree,Data Analyst,< 1 years,"4,000-4,999",edX;Kaggle Learn Courses;DataCamp;Udemy,R;edX;Kaggle Learn Courses;DataCamp;Udemy
6135,22-24,Woman,India,Master’s degree,Machine Learning Engineer,5-10 years,$0-999,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)","C;C++;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)"
6137,30-34,Man,Singapore,Bachelor’s degree,Software Engineer,5-10 years,"50,000-59,999",Udemy,Java;Udemy
6138,35-39,Man,Brazil,Master’s degree,Data Scientist,10-20 years,"7,500-9,999",Kaggle Learn Courses,SQL;C;Java;Javascript;Bash;Kaggle Learn Courses
6141,25-29,Man,Indonesia,Bachelor’s degree,Research Scientist,3-5 years,$0-999,Kaggle Learn Courses;LinkedIn Learning,C++;Kaggle Learn Courses;LinkedIn Learning
6142,35-39,Man,India,Master’s degree,Other,< 1 years,"2,000-2,999",,
6143,35-39,Man,Australia,Master’s degree,Data Scientist,20+ years,"125,000-149,999",DataCamp,R;SQL;Julia;Bash;DataCamp
6144,40-44,Woman,United States of America,Doctoral degree,Other,10-20 years,"100,000-124,999",Kaggle Learn Courses;Udacity,R;Kaggle Learn Courses;Udacity
6147,40-44,Man,United States of America,Doctoral degree,Research Scientist,5-10 years,"150,000-199,999",,R;
6148,18-21,Man,Turkey,Bachelor’s degree,Machine Learning Engineer,20+ years,$0-999,,Java;
6149,35-39,Man,Colombia,Master’s degree,Data Analyst,< 1 years,"7,500-9,999",,SQL;
6155,40-44,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,< 1 years,"3,000-3,999",Kaggle Learn Courses;DataCamp;Udemy,Kaggle Learn Courses;DataCamp;Udemy
6156,30-34,Man,India,Bachelor’s degree,Business Analyst,< 1 years,"1,000-1,999",LinkedIn Learning,C;LinkedIn Learning
6158,55-59,Man,Japan,No formal education past high school,Software Engineer,20+ years,"40,000-49,999",None,SQL;Javascript;None
6159,30-34,Woman,United States of America,Master’s degree,Data Scientist,1-2 years,"70,000-79,999",,R;SQL;MATLAB;
6161,30-34,Man,Viet Nam,Bachelor’s degree,Software Engineer,5-10 years,"20,000-24,999",,Java;
6163,50-54,Man,Japan,Master’s degree,Software Engineer,10-20 years,"125,000-149,999",Udemy,Udemy
6167,40-44,Man,India,Doctoral degree,Research Scientist,3-5 years,"15,000-19,999",None,MATLAB;None
6168,25-29,Prefer not to say,Netherlands,Doctoral degree,Research Scientist,5-10 years,"40,000-49,999",University Courses (resulting in a university degree),SQL;Bash;University Courses (resulting in a university degree)
6170,60-69,Man,United States of America,Master’s degree,Data Engineer,20+ years,"125,000-149,999",,C;Java;Bash;
6171,50-54,Woman,Portugal,Doctoral degree,Research Scientist,20+ years,"30,000-39,999",University Courses (resulting in a university degree),R;MATLAB;University Courses (resulting in a university degree)
6173,22-24,Woman,Viet Nam,Master’s degree,Business Analyst,I have never written code,$0-999,,
6174,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,"7,500-9,999",Udacity;Udemy,SQL;Udacity;Udemy
6177,30-34,Man,United States of America,Master’s degree,Software Engineer,3-5 years,"70,000-79,999",edX;DataCamp,SQL;edX;DataCamp
6179,30-34,Man,Germany,Master’s degree,Data Analyst,< 1 years,"40,000-49,999",Kaggle Learn Courses;DataCamp;Udemy,SQL;Bash;Kaggle Learn Courses;DataCamp;Udemy
6180,35-39,Man,India,Master’s degree,Business Analyst,< 1 years,$0-999,Udemy,R;SQL;Udemy
6183,70+,Man,Romania,Master’s degree,Data Scientist,20+ years,"2,000-2,999",Udacity,Javascript;Udacity
6185,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,"4,000-4,999",edX;Kaggle Learn Courses;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),MATLAB;edX;Kaggle Learn Courses;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
6189,18-21,Man,India,Bachelor’s degree,Data Scientist,1-2 years,"10,000-14,999",Udemy,Udemy
6190,35-39,Man,United States of America,Master’s degree,Business Analyst,3-5 years,"90,000-99,999",edX;DataCamp;Udemy,SQL;edX;DataCamp;Udemy
6191,18-21,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,$0-999,,SQL;C;C++;Java;
6192,30-34,Man,Taiwan,Master’s degree,Data Scientist,3-5 years,$0-999,Kaggle Learn Courses,SQL;Kaggle Learn Courses
6194,35-39,Man,India,Bachelor’s degree,Other,I have never written code,"25,000-29,999",University Courses (resulting in a university degree),University Courses (resulting in a university degree)
6197,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,$0-999,"Kaggle Learn Courses;Fast.ai;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","Kaggle Learn Courses;Fast.ai;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
6198,22-24,Man,Saudi Arabia,Bachelor’s degree,Data Scientist,I have never written code,"3,000-3,999",,
6201,35-39,Man,France,Master’s degree,Machine Learning Engineer,5-10 years,"40,000-49,999",Udacity,Bash;Udacity
6205,25-29,Man,India,Bachelor’s degree,Data Scientist,1-2 years,"10,000-14,999",,SQL;Java;
6208,25-29,Man,Pakistan,Doctoral degree,Machine Learning Engineer,5-10 years,"3,000-3,999",None,C++;MATLAB;None
6209,55-59,Woman,Malaysia,Doctoral degree,Statistician,5-10 years,"60,000-69,999",DataCamp;LinkedIn Learning,R;DataCamp;LinkedIn Learning
6210,25-29,Prefer not to say,India,Master’s degree,Business Analyst,3-5 years,$0-999,Udemy;University Courses (resulting in a university degree),R;Bash;Udemy;University Courses (resulting in a university degree)
6215,30-34,Man,India,Professional degree,Other,I have never written code,"10,000-14,999","Kaggle Learn Courses;Fast.ai;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)","Kaggle Learn Courses;Fast.ai;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)"
6219,30-34,Woman,Nigeria,Master’s degree,Other,< 1 years,"> $500,000",DataCamp,SQL;DataCamp
6220,25-29,Woman,Other,Professional degree,Data Scientist,3-5 years,"100,000-124,999",Kaggle Learn Courses;DataCamp;Fast.ai;LinkedIn Learning;University Courses (resulting in a university degree),R;SQL;C++;Java;Javascript;Julia;MATLAB;Kaggle Learn Courses;DataCamp;Fast.ai;LinkedIn Learning;University Courses (resulting in a university degree)
6222,50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,"200,000-249,999",Udacity,SQL;Java;Bash;Udacity
6223,25-29,Woman,India,Master’s degree,Other,1-2 years,$0-999,"DataCamp;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)","R;SQL;DataCamp;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)"
6224,22-24,Man,Viet Nam,Bachelor’s degree,Machine Learning Engineer,< 1 years,"7,500-9,999",,R;SQL;MATLAB;
6225,25-29,Man,India,Master’s degree,Software Engineer,5-10 years,"10,000-14,999",Kaggle Learn Courses;Udemy,Java;Kaggle Learn Courses;Udemy
